fpr,tpr
0.0,0.0
0.013376648194152494,0.0
0.015287597936174279,0.0
0.017198547678196067,0.0
0.0177718326008026,0.0
0.028664246130326775,0.0
0.029428626027135488,0.0
0.030575195872348557,0.0
0.03936556468564877,0.0
0.04223198929868145,0.0
0.0462449837569272,0.0
0.05484425759602523,0.0
0.12058092872157464,0.0
0.12134530861838334,0.0
0.12153640359258552,0.0
0.12325625836040513,0.0
0.129562392509077,0.0
0.13109115230269444,0.0
0.1387349512707816,0.0
0.19415249378941335,0.0
0.20084081788648958,0.0
0.33040321039556664,0.5
0.710873304032104,0.0
0.9652207146952035,1.0
1.0,1.0
