fpr,tpr
0.0,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.5
0.014683544303797468,0.5
0.023037974683544304,0.0
0.06,0.0
0.1458227848101266,0.5
0.20177215189873415,1.0
0.20987341772151896,1.0
0.28430379746835444,1.0
0.49088607594936706,1.0
0.9997468354430379,1.0
0.9997468354430379,1.0
0.9997468354430379,1.0
1.0,1.0
