fpr,tpr
0.0,0.0
0.014228546020453536,0.3333333333333333
0.016229435304579813,0.3333333333333333
0.022009782125389062,0.3333333333333333
0.03712761227212094,0.3333333333333333
0.04891062694530903,0.3333333333333333
0.04935526900844821,0.6666666666666666
0.05891507336594042,0.3333333333333333
0.06825255669186306,0.6666666666666666
0.08870609159626501,0.3333333333333333
0.09626500666963095,0.3333333333333333
0.09826589595375723,0.3333333333333333
0.10271231658514896,1.0
0.154290795909293,0.3333333333333333
0.16007114273010228,0.6666666666666666
0.16007114273010228,0.6666666666666666
0.161849710982659,0.3333333333333333
0.17296576256113833,0.6666666666666666
0.174744330813695,0.6666666666666666
0.42152067585593594,0.6666666666666666
0.5640284570920409,1.0
0.6722987994664295,1.0
0.9997776789684305,1.0
0.9997776789684305,1.0
1.0,1.0
