fpr,tpr
0.0,0.0
0.014683544303797468,0.5
0.014683544303797468,0.5
0.014683544303797468,0.5
0.014683544303797468,0.5
0.016708860759493672,0.5
0.017974683544303798,0.5
0.01848101265822785,0.5
0.01974683544303797,0.5
0.021518987341772152,0.5
0.022531645569620253,0.5
0.025063291139240506,0.5
0.027848101265822787,0.5
0.048860759493670886,1.0
0.2179746835443038,1.0
0.31164556962025314,1.0
0.4564556962025316,1.0
0.8220253164556961,1.0
0.8273417721518986,1.0
0.8483544303797469,1.0
0.9083544303797468,1.0
0.9258227848101265,1.0
0.9997468354430379,1.0
0.9997468354430379,1.0
1.0,1.0
