,Precision,Recall,F-score
contextOSE,0.748183477188656,0.6666666666666666,0.6993062489104422
DeepAnT-CNN,0.8734455219457874,0.8333333333333333,0.8408109036953176
htmjava,0.7391852112014772,0.625,0.6624063529401104
numentaTM,0.9860853531541227,0.75,0.8286709577231177
skyline,0.9936675448314767,0.75,0.8310560380627762
twitterADVec,0.9904917362692602,0.7083333333333333,0.789983297051432
Bayesian Changepoint,0.9926017367676107,0.875,0.9136317703138735
AREP,0.9916420207395018,0.9166666666666666,0.9465821273446305
