,Precision,Recall,F-score
contextOSE,0.4319672663995635,0.408248290463863,0.41199306544769165
DeepAnT-CNN,0.14151924639674093,0.28867513459481287,0.23364346389428267
htmjava,0.4267729701998388,0.414578098794425,0.4055497112554414
numentaTM,0.0038413461932595063,0.25,0.16578435672578987
skyline,0.004671731372390068,0.25,0.16584604744027479
twitterADVec,0.0092616657301375,0.2975595178559521,0.21778003566977314
Bayesian Changepoint,0.0037948871447787045,0.21650635094610965,0.14385937420986608
AREP,0.005519013819822141,0.14433756729740646,0.08787839972326968
