fpr,tpr
0.0,0.0
0.014683544303797468,0.0
0.014683544303797468,0.5
0.014683544303797468,0.5
0.014683544303797468,0.5
0.01620253164556962,0.5
0.017974683544303798,0.5
0.01848101265822785,0.5
0.0189873417721519,0.5
0.021265822784810127,0.5
0.022278481012658228,0.5
0.02481012658227848,0.5
0.027848101265822787,0.5
0.03139240506329114,0.5
0.03848101265822785,0.5
0.05468354430379747,0.5
0.0559493670886076,0.5
0.05924050632911392,0.5
0.23772151898734176,1.0
0.25569620253164554,1.0
0.4913924050632911,1.0
0.8754430379746836,1.0
0.9997468354430379,1.0
0.9997468354430379,1.0
1.0,1.0
