fpr,tpr
0.0,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.014683544303797468,0.0
0.05518987341772152,0.5
0.11341772151898735,0.5
0.11696202531645569,1.0
0.3162025316455696,0.5
0.5410126582278482,1.0
0.7688607594936709,1.0
0.9997468354430379,1.0
0.9997468354430379,1.0
0.9997468354430379,1.0
1.0,1.0
