fpr,tpr
0.0,0.0
0.018345117523409133,0.0
0.021784827059048346,0.0
0.024651251672081025,0.0
0.04127651442767056,0.0
0.04223198929868145,0.0
0.0640168163577298,0.0
0.07146952035161475,0.0
0.07395375501624309,0.0
0.07854003439709535,0.0
0.08541945346837379,0.0
0.10701318555321995,0.0
0.12669596789604434,0.0
0.14714313013567745,0.0
0.15096502961972103,0.0
0.17179438180775847,0.0
0.21459965602904646,0.0
0.25664055035352573,0.0
0.28492260653544815,0.0
0.3332696350085993,0.0
0.3598318364227021,0.0
0.5497802407796676,0.0
0.7972482323714887,1.0
0.9652207146952035,1.0
1.0,1.0
