fpr,tpr
0.0,0.0
0.014228546020453536,0.3333333333333333
0.02000889284126279,0.3333333333333333
0.022009782125389062,0.3333333333333333
0.03534904401956425,0.3333333333333333
0.05313472654513117,0.3333333333333333
0.05491329479768786,0.3333333333333333
0.0675855935971543,0.3333333333333333
0.07536682970208981,0.3333333333333333
0.08225878168074699,0.3333333333333333
0.08425967096487329,0.3333333333333333
0.1036016007114273,0.3333333333333333
0.13228101378390394,0.3333333333333333
0.1829702089817697,0.6666666666666666
0.20008892841262785,1.0
0.23921742996887502,1.0
0.26122721209426414,1.0
0.2750111160515785,1.0
0.38105824811027117,1.0
0.5333481547354381,1.0
0.7461093819475323,1.0
0.8379279679857714,1.0
0.9939973321476212,1.0
0.9997776789684305,1.0
1.0,1.0
