,Precision,Recall,F-score,AUC
ReRe,0.25,0.08333333333333333,0.125,0.629142374
Alter-ReRe,0.49280356305672757,0.20833333333333331,0.290439823839146,0.762770927
AREP,0.9916420207395018,0.9166666666666666,0.9465821273446305,0.844737796
