,Precision,Recall,F-score,AUC
ReRe,0.4330127018922193,0.14433756729740646,0.21650635094610965,0.149179727
Alter-ReRe,0.492804600307293,0.21650635094610965,0.296293675238339,0.291492804
AREP,0.005519013819822141,0.14433756729740646,0.08787839972326968,0.203142175
